API Well Number,County Code,API Hole Number,Sidetrack,Completion,Well Name,Company Name,Operator Number,Well Type,Map Symbol,Well Status ,Status Date,Permit Application Date,Permit Issued Date,Date Spudded,Date of Total Depth,Date Well Completed,Date Well Plugged,Date Well Confidentiality Ends,Confidentiality Code,Town,Quad,Quad Section,Producing Field,Producing Formation,Financial Security,Slant,County,Region,State Lease,"Proposed Depth, ft",Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,"True Vertical Depth, ft","Measured Depth, ft","Kickoff, ft","Drilled Depth, ft","Elevation, ft",Original Well Type,Permit Fee,Objective Formation,Depth Fee,Spacing,Spacing Acres,Integration,Hearing Date,Date Last Modified,DEC Database Link,Location 1
31009008540000,9,854,0,0,Marsh William 1,Belmont Quadrangle Drilling,9034,GD,GWP,PA,,,,1936-10-01T00:00:00,,1936-11-15T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.02566,42.28141,-79.02566,42.28141,3620.0,3620.0,0.0,3620.0,1367.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008540000'},"{'longitude': '-79.02566', 'needs_recoding': False, 'latitude': '42.28141'}"
31009008550000,9,855,0,0,Greely Clyde 1,Belmont Quadrangle Drilling,9034,GD,GWP,PA,,,,1932-08-19T00:00:00,,1933-05-30T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.0092,42.29159,-79.0092,42.29159,3562.0,3562.0,0.0,3562.0,1344.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008550000'},"{'longitude': '-79.0092', 'needs_recoding': False, 'latitude': '42.29159'}"
31009008580000,9,858,0,0,Franklin G M 1,Belmont Quadrangle Drilling,9034,GD,GWP,PA,,,,1936-07-05T00:00:00,,1936-08-28T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.02419,42.29145,-79.02419,42.29145,3717.0,3717.0,0.0,3717.0,1526.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008580000'},"{'longitude': '-79.02419', 'needs_recoding': False, 'latitude': '42.29145'}"
31009008590000,9,859,0,0,Curtiss P H 1,Belmont Quadrangle Drilling,9034,GD,GWP,PA,,,,1935-12-05T00:00:00,,1936-01-27T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.01716,42.28939,-79.01716,42.28939,3558.0,3558.0,0.0,3558.0,1345.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008590000'},"{'longitude': '-79.01716', 'needs_recoding': False, 'latitude': '42.28939'}"
31009008600000,9,860,0,0,Brown A J 1,J. J. Bucher Producing Corporation,154,GD,GWP,PA,,,,1936-04-20T00:00:00,,1936-06-09T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.02344999999998,42.28746,-79.02344999999998,42.28746,3587.0,3587.0,0.0,3587.0,1364.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008600000'},"{'longitude': '-79.02345', 'needs_recoding': False, 'latitude': '42.28746'}"
31009008630000,9,863,0,0,Strickland John P 3,New Penn Develop,9344,GD,GWP,PA,,,,1940-09-10T00:00:00,,1940-10-24T00:00:00,,,Pre-1989 Well (N/A),Otto,Collins Center,G,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.86061999999998,42.40496,-78.86061999999998,42.40496,3175.0,3175.0,0.0,3175.0,1155.0,NL,0.0,,0.0,,,,,1999-01-13T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009008630000'},"{'longitude': '-78.86062', 'needs_recoding': False, 'latitude': '42.40496'}"
31009009740000,9,974,0,0,Strickland 1,North Penn Gas Co.,1711,GD,GWP,PA,,,,,,1923-11-10T00:00:00,,,Pre-1989 Well (N/A),Otto,Gowanda,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.88599,42.39555,-78.88599,42.39555,3278.0,3278.0,0.0,3278.0,1312.0,NL,0.0,,0.0,,,,,1995-10-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009009740000'},"{'longitude': '-78.88599', 'needs_recoding': False, 'latitude': '42.39555'}"
31009009790000,9,979,0,0,Wilder 1,Dougherty F.L.,9320,GD,GWP,PA,,,,,,1927-11-03T00:00:00,,,Pre-1989 Well (N/A),Persia,Gowanda,I,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.89257,42.3884,-78.89257,42.3884,3068.0,3068.0,0.0,3068.0,1060.0,NL,0.0,,0.0,,,,,1995-10-24T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009009790000'},"{'longitude': '-78.89257', 'needs_recoding': False, 'latitude': '42.3884'}"
31009010000000,9,1000,0,0,Ackler Harold 1,Appalachian Development,9261,GD,GWP,PA,,,,1946-06-24T00:00:00,,1946-10-09T00:00:00,,,Pre-1989 Well (N/A),Leon,Cherry Creek,F,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-79.01272,42.2942,-79.01272,42.2942,3652.0,3652.0,0.0,3652.0,1408.0,NL,0.0,,0.0,,,,,1999-04-05T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009010000000'},"{'longitude': '-79.01272', 'needs_recoding': False, 'latitude': '42.2942'}"
31009011610000,9,1161,0,0,Hotchkiss H 1,Cunningham Natural Gas Corp.,261,GD,GWP,PA,,,,1937-01-21T00:00:00,,1937-02-01T00:00:00,,,Pre-1989 Well (N/A),Randolph,Steamburg,,Lakeshore,Medina,False,Vertical,Cattaraugus,9.0,,0.0,-78.96940999999998,42.11175,-78.96940999999998,42.11175,4765.0,4765.0,0.0,4765.0,1760.0,NL,0.0,,0.0,,,,,1999-04-15T00:00:00,{'url': 'http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009011610000'},"{'longitude': '-78.96941', 'needs_recoding': False, 'latitude': '42.11175'}"
